
Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-04-28","0","9,032","4.88","0","0","0","0","0","0"
"2016-04-29","0","5,902","3.22","0","0","0","0","0","0"
"2016-04-30","0","1,543","0.84","0","0","0","0","0","0"
"2016-05-01","0","4,332","2.38","0","0","0","0","0","0"
"2016-05-02","0","7,923","4.4","0","0","0","0","0","0"
"2016-05-03","0","7,988","4.43","0","0","0","0","0","0"
"2016-05-04","0","6,741","3.67","0","0","0","0","0","0"
"2016-05-05","0","6,838","3.67","0","0","0","0","0","0"
"2016-05-06","0","6,239","3.31","0","0","0","0","0","0"
"2016-05-07","0","4,347","2.32","0","0","0","0","0","0"
"2016-05-08","0","4,064","2.15","0","0","0","0","0","0"
"2016-05-09","0","6,914","3.7","0","0","0","0","0","0"
"2016-05-10","0","4,676","2.52","0","0","0","0","0","0"
"2016-05-11","0","10,490","5.58","0","0","0","0","0","0"
"2016-05-12","0","10,358","5.58","0","0","0","0","0","0"
"2016-05-17","0","4,490","2.45","0","0","0","0","0","0"
"2016-05-18","0","6,861","3.68","0","0","0","0","0","0"
"2016-05-13","0","4,785","2.6","0","0","0","0","0","0"
"2016-05-14","0","4,964","2.68","0","0","0","0","0","0"
"2016-05-19","0","4,458","2.44","0","0","0","0","0","0"
"2016-05-15","0","4,404","2.4","0","0","0","0","0","0"
"2016-05-16","0","8,061","4.34","0","0","0","0","0","0"
"2017-09-01","0","6,036","2.47","2","0","0","0","0","0"
"2016-05-20","0","7,510","4.08","0","0","0","0","0","0"
"2016-05-21","0","3,644","1.94","0","0","0","0","0","0"
"2016-05-22","0","4,402","2.37","0","0","0","0","0","0"
"2016-05-23","0","6,720","3.69","0","0","0","0","0","0"
"2016-09-07","0","2,430","1.29","0","0","0","0","0","0"
"2016-09-08","0","2,627","1.4","0","0","0","0","0","0"
"2016-09-09","0","6,959","3.85","0","0","0","0","0","0"
"2016-05-24","0","9,025","4.9","0","0","0","0","0","0"
"2016-05-25","0","1,966","1.07","0","0","0","0","0","0"
"2016-09-10","0","8,925","4.86","0","0","0","0","0","0"
"2016-09-11","0","1,586","0.84","0","0","0","0","0","0"
